state,state_abbr,median_income_2022_23,mean_income_2022_23,earners_2022_23
New South Wales,NSW,58909,78390,5362189
Victoria,VIC,57907,74460,4420529
Queensland,QLD,56708,70710,3531096
South Australia,SA,55782,67376,1164805
Western Australia,WA,62207,81873,1879039
Tasmania,TAS,53479,63029,356850
Northern Territory,NT,66831,76384,149556
Australian Capital Territory,ACT,75643,87959,331830
